Date,SAP actual day
2018-01-01,1.7083
2018-01-02,1.7331
2018-01-03,1.7663
2018-01-04,1.7719
2018-01-05,1.7601
2018-01-06,1.7186
2018-01-07,1.817
2018-01-08,1.7993
2018-01-09,1.7734
2018-01-10,1.7862
2018-01-11,1.8334
2018-01-12,1.778
2018-01-13,1.7796
2018-01-14,1.7774
2018-01-15,1.733
2018-01-16,1.7304
2018-01-17,1.718
2018-01-18,1.7026
2018-01-19,1.7158
2018-01-20,1.7204
2018-01-21,1.6999
2018-01-22,1.6852
2018-01-23,1.6529
2018-01-24,1.6241
2018-01-25,1.6529
2018-01-26,1.6146
2018-01-27,1.6223
2018-01-28,1.5549
2018-01-29,1.5893
2018-01-30,1.6295
2018-01-31,1.612
2018-02-01,1.6952
2018-02-02,1.7638
2018-02-03,1.6615
2018-02-04,1.6799
2018-02-05,1.6932
2018-02-06,1.7097
2018-02-07,1.7666
2018-02-08,1.7444
2018-02-09,1.7284
2018-02-10,1.7429
2018-02-11,1.7118
2018-02-12,1.7245
2018-02-13,1.7973
2018-02-14,1.7268
2018-02-15,1.6477
2018-02-16,1.7306
2018-02-17,1.7116
2018-02-18,1.7065
2018-02-19,1.8878
2018-02-20,1.8766
2018-02-21,1.9408
2018-02-22,2.074
2018-02-23,2.078
2018-02-24,1.8699
2018-02-25,1.895
2018-02-26,2.417
2018-02-27,3.6485
2018-02-28,5.7535
2018-03-01,12.7162
2018-03-02,8.6943
2018-03-03,2.239
2018-03-04,1.991
2018-03-05,1.7443
2018-03-06,1.7649
2018-03-07,1.7205
2018-03-08,1.7898
2018-03-09,1.8981
2018-03-10,1.8615
2018-03-11,1.8474
2018-03-12,2.5045
2018-03-13,2.3297
2018-03-14,2.0798
2018-03-15,2.2556
2018-03-16,1.8743
2018-03-17,1.8881
2018-03-18,2.2004
2018-03-19,1.9703
2018-03-20,1.9094
2018-03-21,1.8633
2018-03-22,1.8553
2018-03-23,1.7548
2018-03-24,1.7908
2018-03-25,1.6877
2018-03-26,1.6361
2018-03-27,1.7148
2018-03-28,1.6609
2018-03-29,1.7654
2018-03-30,1.6619
2018-03-31,1.6743
2018-04-01,1.811
2018-04-02,1.7961
2018-04-03,1.6375
2018-04-04,1.6794
2018-04-05,1.6877
2018-04-06,1.6627
2018-04-07,1.7057
2018-04-08,1.688
2018-04-09,1.7717
2018-04-10,1.8336
2018-04-11,1.86
2018-04-12,1.9138
2018-04-13,1.8746
2018-04-14,1.685
2018-04-15,1.7217
2018-04-16,1.713
2018-04-17,1.7278
2018-04-18,1.6566
2018-04-19,1.7628
2018-04-20,1.7394
2018-04-21,1.6772
2018-04-22,1.6732
2018-04-23,1.7175
2018-04-24,1.7444
2018-04-25,1.7295
2018-04-26,1.7782
2018-04-27,1.84
2018-04-28,1.8494
2018-04-29,1.8437
2018-04-30,1.8449
2018-05-01,1.8108
2018-05-02,1.8232
2018-05-03,1.8014
2018-05-04,1.8291
2018-05-05,1.8067
2018-05-06,1.795
2018-05-07,1.8145
2018-05-08,1.8292
2018-05-09,1.7823
2018-05-10,1.8226
2018-05-11,1.8763
2018-05-12,1.8948
2018-05-13,1.8607
2018-05-14,1.9308
2018-05-15,1.8605
2018-05-16,1.894
2018-05-17,1.9762
2018-05-18,1.9467
2018-05-19,1.9272
2018-05-20,1.8872
2018-05-21,1.9275
2018-05-22,2.0073
2018-05-23,1.9857
2018-05-24,2.0187
2018-05-25,1.9092
2018-05-26,1.8616
2018-05-27,1.8855
2018-05-28,1.9154
2018-05-29,2.0158
2018-05-30,2.1159
2018-05-31,2.035
2018-06-01,1.9654
2018-06-02,1.9852
2018-06-03,1.9916
2018-06-04,2.0291
2018-06-05,1.9589
2018-06-06,1.9483
2018-06-07,2.0204
2018-06-08,2.0051
2018-06-09,1.9572
2018-06-10,1.9137
2018-06-11,1.8678
2018-06-12,1.8604
2018-06-13,1.9919
2018-06-14,1.9265
2018-06-15,1.8801
2018-06-16,1.8574
2018-06-17,1.8652
2018-06-18,1.8725
2018-06-19,1.8346
2018-06-20,1.8325
2018-06-21,1.758
2018-06-22,1.7999
2018-06-23,1.8235
2018-06-24,1.8019
2018-06-25,1.8076
2018-06-26,1.834
2018-06-27,1.8896
2018-06-28,1.8674
2018-06-29,1.7854
2018-06-30,1.8076
2018-07-01,1.8083
2018-07-02,1.9105
2018-07-03,1.9035
2018-07-04,1.9365
2018-07-05,1.9862
